"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","county_clean","year","emissions_mtco2e"
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste","MARTIN",2019,176119.524
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste","MARTIN",2020,103113.146
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste","MARTIN",2021,170369.864
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste","MARTIN",2022,162656.388
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste","MARTIN",2023,195444.684
1000230,"110009846480","Blue Ridge Paper Products LLC","CANTON","NC","28716","175 MAIN ST","Haywood",35.535,-82.8411,322110,"AA,C,TT","Pulp and Paper,Waste","HAYWOOD",2019,882938.546
1000230,"110009846480","Blue Ridge Paper Products LLC","CANTON","NC","28716","175 MAIN ST","Haywood",35.535,-82.8411,322110,"AA,C,TT","Pulp and Paper,Waste","HAYWOOD",2020,901082.326
1000230,"110009846480","Blue Ridge Paper Products LLC","CANTON","NC","28716","175 MAIN ST","Haywood",35.535,-82.8411,322110,"AA,C,TT","Pulp and Paper,Waste","HAYWOOD",2021,942651.274
1000230,"110009846480","Blue Ridge Paper Products LLC","CANTON","NC","28716","175 MAIN ST","Haywood",35.535,-82.8411,322110,"AA,C,TT","Pulp and Paper,Waste","HAYWOOD",2022,946189.974
1000230,"110009846480","Blue Ridge Paper Products LLC","CANTON","NC","28716","175 MAIN ST","Haywood",35.535,-82.8411,322110,"AA,C,TT","Pulp and Paper,Waste","HAYWOOD",2023,400763.118
1000234,"110006710684","The University of NC Chapel Hill","CHAPEL HILL","NC","27599","501 CAMERON AVE","Orange",35.9069,-79.0617,611310,"C","Other","ORANGE",2019,227736.514
1000234,"110006710684","The University of NC Chapel Hill","CHAPEL HILL","NC","27599","501 CAMERON AVE","Orange",35.9069,-79.0617,611310,"C","Other","ORANGE",2020,197497.734
1000234,"110006710684","The University of NC Chapel Hill","CHAPEL HILL","NC","27599","501 CAMERON AVE","Orange",35.9069,-79.0617,611310,"C","Other","ORANGE",2021,201214.156
1000234,"110006710684","The University of NC Chapel Hill","CHAPEL HILL","NC","27599","501 CAMERON AVE","Orange",35.9069,-79.0617,611310,"C","Other","ORANGE",2022,179491.212
1000234,"110006710684","The University of NC Chapel Hill","CHAPEL HILL","NC","27599","501 CAMERON AVE","Orange",35.9069,-79.0617,611310,"C","Other","ORANGE",2023,169133.498
