"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","emissions_2023","emissions_2022","emissions_2021","emissions_2020","emissions_2019","county_clean"
1006145,"110000559609","CHEMOURS COMPANY - FAYETTEVILLE WORKS","FAYETTEVILLE","NC","28306","22828 NC HIGHWAY 87 WEST","BLADEN COUNTY",34.8419,-78.8388,325120,"C,L,OO","Chemicals,Industrial Gas Suppliers",46277.309,47608.0021,49966.266087,55586.52012,681145.82,"BLADEN"
1005594,"110060422760","CITY OF ALBEMARLE LANDFILL","ALBEMARLE","NC","28002","40592B Stony Gap Road","STANLY COUNTY",35.3173,-80.1658,562212,"HH","Waste",61211.25,60786.25,59591.75,58443.25,57502.5,"STANLY"
1007078,"110001503472","CITY OF DURHAM SANITARY LANDFILL","DURHAM","NC","27704","2115 EAST CLUB BLVD","DURHAM",36.025818,-78.856501,562212,"HH","Waste",NA,NA,NA,NA,NA,"DURHAM"
1006978,"110009717039","CITY OF GREENSBORO WHITE STREET LANDFILL","GREENSBORO","NC","27405","2503 WHITE STREET","GUILFORD COUNTY",36.1089,-79.72148,562212,"HH","Waste",220459.75,206466.75,156615,176907,179535.25,"GUILFORD"
1005825,"110071162427","CLEVELAND COUNTY LANDFILL","SHELBY","NC","28152","200 South Post Road, OFF AIRPORT","CLEVELAND COUNTY",35.300926,-81.545135,562212,"HH","Waste",143437,139753,135704.75,132001.5,151973.5,"CLEVELAND"
1004136,"110043785909","COVATION BIOMATERIALS KINSTON SITE","Grifton","NC","28530","4693 N. C. HIGHWAY, 11 NORTH","LENOIR COUNTY",35.3306,-77.4772,325211,"C","Other",34955.468,38857.004,42689.34,34256.472,37290.06,"LENOIR"
1000226,"110000347045","CPI USA North Carolina Roxboro","ROXBORO","NC","27573","331 ALLIE CLAY RD","Person",36.435,-78.9619,221112,"C","Power Plants",NA,NA,41023.084,219156.094,224639.678,"PERSON"
1000225,"110043787783","CPI USA North Carolina Southport","SOUTHPORT","NC","28461","1281 POWERHOUSE DR SE","Brunswick",33.9444,-78.0125,221112,"C","Power Plants",NA,NA,69232.782,390883.328,403284.514,"BRUNSWICK"
1001627,"110060396432","CUMBERLAND COUNTY ANN STREET LANDFILL","FAYETTEVILLE","NC","28301","698 ANN STREET","CUMBERLAND COUNTY",35.0639,-78.87082,562212,"C,HH","Waste",75195.5,60068.5,67818.5,65407,67144.25,"CUMBERLAND"
1000785,"110071160857","Cape Fear Steam Electric Plant","MONCURE","NC","27559","500 CP&L ROAD","Chatham",35.595,-79.0492,221112,"C","Power Plants",82993.284,87493.622,79344.594,NA,NA,"CHATHAM"
1005124,"110000349515","Cargill Inc","Charlotte","NC","28217","5000 South Blvd","MECKLENBURG COUNTY",35.16941,-80.876,311222,"C","Other",NA,NA,NA,NA,NA,"MECKLENBURG"
1003495,"110009849968","Cargill, Inc.","Fayetteville","NC","28312","1754 River Road","CUMBERLAND COUNTY",35.087889,-78.844949,311221,"C","Other",66582.646,59216.174,42646.968,38514.4,41133.126,"CUMBERLAND"
1005354,"110000348749","Carolina Stalite Company","Norwood","NC","28128","12423 Old Aquadale Rd.","STANLY COUNTY",35.229466,-80.243888,327992,"C","Minerals",19189.362,20382.412,20046.224,20204.618,21937.506,"STANLY"
1010363,"110010718884","Cascades Tissue Group North Carolina","Rockingham","NC","28379","805, Midway Road","RICHMOND COUNTY",34.954075,-79.809005,322120,"C","Pulp and Paper",19706.676,24695.356,14590.244,25079.554,23628.96,"RICHMOND"
1011645,"110040757142","CertainTeed Gypsum NC, Inc.","Semora","NC","27343","921 Shore Road","PERSON COUNTY",36.49011,-79.055977,327420,"C","Minerals",31009.784,37237.96,34938.268,31350.632,25746.204,"PERSON"
1003099,"110070081851","Charlotte Motor Speedway Landfill V","CONCORD","NC","28027","5105 MOREHEAD ROAD","CABARRUS COUNTY",35.345247,-80.682062,562212,"HH","Waste",196456.5,181540.75,160698.25,176044.25,171309.5,"CABARRUS"
1010974,"110071159965","Clearwater Paper Shelby, LLC","Shelby","NC","28150","617 Washburn Switch Rd.","CLEVELAND COUNTY",35.310018,-81.603346,322120,"C","Pulp and Paper",78237.756,80545.348,77655.008,79721.7,66009.7,"CLEVELAND"
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants",356228.974,680754.1,502700.15,324171.936,544122.17,"CLEVELAND"
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants",3711093.676,3071804.156,3329380.932,4201415.576,5253472.242,"CLEVELAND"
1000227,"110007377739","Coastal Carolina Clean Power LLC","KENANSVILLE","NC","28349","1838 NC 11 & 903","Duplin",35.0225,-77.8575,221112,"C","Power Plants",NA,NA,NA,NA,NA,"DUPLIN"
1003035,"110043802597","Coastal Regional Solid Waste Management Authority","New Bern","NC","28562","7400 Old US 70 West","CRAVEN COUNTY",34.943667,-76.948346,562212,"HH","Waste",138924.75,129028,121381,137036,139443.25,"CRAVEN"
1007732,"110001482949","Craven County Wood Energy","New Bern","NC","28562","201 Executive Parkway","CRAVEN COUNTY",35.1285,-77.17,221117,"D","Power Plants",7362.986,7071.864,7283.54,4546.564,6639.414,"CRAVEN"
1002099,"110008647893","DAK AMERICAS LLC","LELAND","NC","28451","3500 DANIELS ROAD NORTHEAST","BRUNSWICK",34.322316,-78.039566,325222,"C","Other",NA,NA,NA,NA,NA,"BRUNSWICK"
1003297,"110038493298","DUKE UNIVERSITY","DURHAM","NC","27710","131 RESEARCH DR","DURHAM COUNTY",36.008498,-78.942578,611310,"C","Other",91985.848,98023.22,83859.432,88885.512,88263.916,"DURHAM"
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants",1470088.604,1599550.72,1620602.396,1740005.152,1709972.264,"ROCKINGHAM"
1007571,"110000349748","Darling In, Ingredients - Fayetteville","Fayetteville","NC","28301","1309 Industrial Drive","CUMBERLAND COUNTY",35.03104,-78.86301,311613,"C","Other",68800.84,68938.54,69856.636,65672.252,66785.246,"CUMBERLAND"
